material_id,energy,energy_per_atom,band_gap,total_magnetization,0,1,2,3,4,5,6,7,8,9,10,11,12,13
mp-1184994,-2.86375649,-0.7159391225,0.0,5.72e-05,11.5,6.5,-1.5,-4.5,2.0,1.0,8.666666666666666,-3.3333333333333335,6.333333333333334,-1.6666666666666665,4.339098085499566,-1.0431611450139542,3.380925798167851,0.08498299820493393
mp-1191108,-173.21430657,-7.21726277375,0.0,4.8916666666666665e-05,11.5,2.5,-0.5,-3.5,12.0,6.0,5.0,1.6666666666666667,6.666666666666667,-3.333333333333333,3.0923225933022103,-0.4190926793070753,3.076464546825518,0.005078300650539935
mp-1221413,-15.9412068,-7.9706034,0.0,0.0001042,13.0,2.0,-3.0,-2.0,1.0,-0.0,6.0,-0.0,6.0,-0.0,2.716166,-0.0,2.698207273704952,-0.0
mp-2049,-61.31355006,-10.21892501,0.0,0.0,10.0,1.0,0.0,-1.0,3.0,1.0,5.0,1.0,9.0,-3.0,2.9873780162908545,-0.3017864637091454,3.149135235737025,2.430262657782123e-10
mp-1184466,-39.81135566,-4.9764194575,0.0,6.93414055,13.5,4.5,-2.5,-5.5,4.0,2.0,7.0,1.0,8.0,-4.0,4.017070486404817,-0.7384863616097526,3.3633112333483357,0.00024031096589083312
mp-1077277,-36.20463037,-6.034105061666666,0.0,0.4741387,15.0,5.0,-2.0,-6.0,3.0,1.0,1.5,0.5,3.0,-1.0,3.513852208661165,-0.028214789972587972,3.7587191296869586,0.045511412430987
mp-7096,-43.91291135,-6.27327305,0.0,1.3074756,15.5,3.5,-8.5,-4.5,3.5,0.5,6.666666666666667,5.333333333333333,5.25,-0.75,3.145493244209402,0.2854432440600836,2.4212950826119597,0.0007000885274319746
mp-1018132,-7.46622144,-3.73311072,0.0,1e-07,18.5,2.5,-9.5,0.5,1.0,-0.0,12.0,-0.0,4.0,-0.0,4.4342666248208396,-0.0,2.7154226535661077,-0.0
mp-1186524,-36.99340771,-4.62417596375,0.0,0.7660626,9.0,0.0,3.0,0.0,4.0,-0.0,7.0,-0.0,8.0,0.0,4.081586357165303,0.0,3.3743599038790233,-0.0
mp-684911,-207.57075745,-5.18926893625,0.9170999999999996,0.000154825,15.0,6.0,-4.0,-7.0,20.0,4.0,5.0,-2.0,6.666666666666666,-1.3333333333333335,3.98483685253452,-0.4490182368349087,3.277695735298694,9.668038671861723e-07
mp-1096829,-25.24107999,-6.3102699975,0.0,9.5e-07,15.5,0.5,-7.5,3.5,2.0,-0.0,4.0,-2.0,6.0,-0.0,3.1269093428167487,-0.5026178428167489,2.8298921082177597,-0.0
mp-1186704,-34.20315059,-4.27539382375,0.0,0.05743885,12.5,3.5,-1.5,-4.5,4.0,-2.0,6.0,-0.0,8.0,4.0,4.289080496582136,0.8069808019965479,3.479544292433297,-8.3194169573364e-06
mp-12798,-23.67875192,-5.91968798,0.0,2.2890706,15.0,1.0,-5.0,1.0,2.0,-1.0,7.0,-1.0,8.0,4.0,3.2008252147247767,0.5491747852752233,2.6516504294495533,-0.0
mp-865246,-23.8341393,-5.958534825,0.0,6.8746838,15.0,6.0,-3.0,-6.0,2.0,1.0,7.0,1.0,8.0,-4.0,4.217278336862287,-0.7235746631377127,3.493707167438729,3.4937141548674333e-06
mp-1084805,-37.97750929,-4.74718866125,0.0,4.45e-06,5.0,3.0,1.0,1.0,4.0,-2.0,3.333333333333333,0.6666666666666667,6.666666666666666,2.3333333333333335,2.670394934065334,0.7361004972463258,2.444752089964619,-0.05747069701412699
mp-1183858,-22.13427661,-5.5335691525,0.0,3.9e-06,14.0,5.0,-5.0,-8.0,2.0,1.0,4.666666666666666,0.6666666666666665,4.0,-0.0,3.2993700651518276,-0.4897179348481717,2.809656482026162,0.13036666271358932
mp-12769,-37.87217638,-6.3120293966666665,0.0,5e-08,12.5,4.5,-4.5,-6.5,3.0,1.0,5.5,-2.5,9.0,-3.0,3.0853673957648917,-0.8308073958265121,3.0071808069283517,4.2582026793525074e-10
mp-556537,-276.06756679,-7.668543521944445,4.5414,0.0,17.5,0.5,-12.5,-1.5,18.0,6.0,3.75,-0.25,3.0,-1.0,2.5716120960260804,-0.30875339681245717,1.6357319853443775,0.002412271173086955
mp-1213096,-45.72579789,-4.572579789000001,0.0,0.09144535,11.5,2.5,-1.5,-4.5,5.0,-3.0,8.0,-4.0,4.0,-0.0,5.032474243271051,0.5083831369293037,4.037697873057882,-1.2672691829577045
mp-1187318,-37.13723398,-4.6421542475,0.0,0.75498285,9.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,8.0,-0.0,4.1030914360875475,-0.0,3.3922279274255853,0.0
mp-1100462,-47.68296238,-3.9735801983333334,0.0,1.0175e-05,11.0,6.0,-5.0,-6.0,6.0,2.0,4.25,0.25,5.375,-1.625,2.8695393347931315,-0.3972138997171595,2.8485607214835,0.031873405874981664
mp-1192350,-218.46729739,-9.102804057916666,0.0,0.00705165,11.0,1.0,-2.0,-2.0,12.0,4.0,5.0,1.0,9.0,-3.0,2.6403771352916285,-0.27378711350583074,2.7907570618673736,0.0013619284798831455
mp-12983,-11.68799149,-5.843995745,0.0,1e-07,13.5,6.5,-4.5,-5.5,1.0,-0.0,6.0,-0.0,8.0,-0.0,3.622,-0.0,3.136744012507237,-0.0
mp-863737,-17.54084339,-4.3852108475,0.0,0.0007524,13.5,4.5,-2.5,-5.5,2.0,-1.0,7.0,-1.0,8.0,4.0,4.097127973332524,0.7029560266674759,3.3941719466650477,-2.220446049250313e-16
mp-1095432,-75.43056105,-6.2858800875,0.0,3.9e-06,7.0,5.0,0.0,-0.0,6.0,-2.0,7.25,2.75,5.25,1.75,2.294008845592156,0.3795925123979431,1.7472030519864394,-0.006247026171411818
mp-1074703,-32.95341704,-2.7461180866666663,0.0,4.3e-06,11.0,6.0,-5.0,-6.0,6.0,-2.0,2.1875,-0.6875,3.3125,0.6875,2.7954494272168775,-0.2068129003658632,3.0685023071246347,-0.08198619844243282
mp-1184679,-11.55038851,-2.8875971275,0.0,0.0003212,19.5,1.5,-7.5,-1.5,2.0,1.0,6.0,2.0,8.0,-4.0,3.8004308022208995,-0.6272431977790993,3.173192781803534,0.0423544715201698
mp-1190681,-210.3551076,-8.76479615,0.0,3.064655475,10.5,1.5,-1.5,-2.5,12.0,4.0,5.0,1.0,9.0,-3.0,2.7666635634210293,-0.2812597840484117,2.913057330672192,0.0011194945938839407
mp-1207087,-19.15625381,-6.385417936666666,0.0,0.9973193,14.0,5.0,-6.0,-9.0,1.5,0.5,9.0,-3.0,6.0,-2.0,3.4982582214312363,-0.6002062214312365,2.5097866534883,2.220446049250313e-16
mp-999141,-19.32734847,-4.8318371175,0.0,8.75e-06,13.0,4.0,-1.0,-4.0,2.0,-0.0,5.0,-3.0,6.0,-0.0,3.219989760108909,-0.5100102398910906,2.868906586140441,2.220446049250313e-16
mp-2080,-102.00707296,-3.6431097485714288,0.0,5e-08,5.5,1.5,1.5,1.5,14.0,-12.0,8.076923076923077,-2.0769230769230766,13.23076923076923,10.76923076923077,3.6988346946500053,1.531165306513071,3.1483916732551886,-0.05523684878304835
mp-1185073,-5.59849813,-1.3996245325,0.0,0.2862997,7.0,2.0,3.0,-0.0,2.0,-1.0,8.666666666666666,3.3333333333333335,6.333333333333334,1.6666666666666665,5.196682143114532,1.2493315584532814,4.049134083717903,-0.10177823588043444
mp-1185108,-7.96219566,-1.990548915,0.0,3.5532744,7.0,2.0,2.0,-1.0,2.0,-1.0,7.0,-1.0,8.0,4.0,4.693737040308895,0.8053179596911051,3.88841908061779,-0.0
mp-1184931,-40.57988715,-10.1449717875,0.0,10.7141297,9.5,0.5,3.5,0.5,2.0,1.0,6.0,2.0,8.0,-4.0,4.026346064609319,-0.6850619353906797,3.341291951686192,0.009823405935844631
mp-30485,-15.56021807,-1.94502725875,0.0,5.5e-07,11.0,5.0,-3.0,-5.0,4.0,-2.0,5.333333333333333,-3.333333333333333,5.333333333333333,2.666666666666667,3.976763315699772,0.17323668430022843,3.173056223139083,-0.011664955509964825
mp-1186385,-28.21015625,-7.0525390625,0.0,0.0001264,14.0,4.0,-1.0,-5.0,2.0,-1.0,7.0,-1.0,8.0,4.0,3.9868326577534514,0.6840323422465484,3.3028003155069032,-0.0
mp-2072,-23.71428441,-2.96428555125,0.6627000000000001,0.0,13.0,8.0,-4.0,-7.0,4.0,-0.0,3.5,-2.5,6.0,-0.0,3.6646071395533344,-0.8267291395533347,3.5858950863011407,-0.02634120480970603
mp-1063174,-23.10219884,-7.700732946666666,0.0,7.1127571,13.0,4.0,-1.0,-4.0,1.5,0.5,4.5,0.5,7.5,-2.5,3.248654608,-0.4328493920000003,2.959548209545031,2.220446049250313e-16
mp-1187394,-34.16598544,-8.54149636,0.0,9.31e-05,15.5,3.5,-5.5,-3.5,2.0,-1.0,8.666666666666666,3.3333333333333335,6.333333333333334,1.6666666666666665,3.6849028595759545,0.885886285702133,2.8711918689546008,-0.07217031902256377
mp-1556,-19.65018017,-9.825090085,0.0,5.8949783,15.5,5.5,-3.5,-7.5,1.0,0.0,12.0,0.0,6.0,0.0,4.368081423842169,0.0,3.0886999954815555,0.0
mp-613620,-262.72697028,-6.568174257,0.5692000000000004,0.0004877875,16.0,2.0,-9.0,-5.0,20.0,4.0,1.8333333333333333,0.8333333333333333,2.583333333333333,0.08333333333333326,2.54560838356993,-0.142653959874653,1.8924356260241697,0.02906956152075535
mp-573631,-313.41422134,-3.91767776675,1.6303,0.0,13.0,6.0,-3.0,-8.0,40.0,16.0,2.9523809523809526,-0.38095238095238093,5.238095238095238,-2.095238095238095,3.475344552537921,-1.1134851124158571,3.7460559853681565,0.018741778382574292
mp-1185852,-19.53812911,-3.2563548516666665,0.0,1.89e-05,11.0,6.0,-2.0,-3.0,3.0,2.0,8.8,0.7999999999999998,7.2,-4.8,3.7378414034407914,-0.9259075965592085,2.8352308457900817,0.0004784616775277417
mp-1094451,-12.51617241,-1.56452155125,0.0,2e-07,10.5,5.5,-3.5,-4.5,4.0,-2.0,7.0,-1.0,8.0,4.0,3.6749225990548444,0.6838308222924432,3.1008592899126723,-2.516440310129653e-06
mp-1187108,-39.81030899,-4.97628862375,0.0,6.81e-05,16.0,3.0,-6.0,-3.0,4.0,2.0,6.0,0.0,8.0,-4.0,3.6402470347605176,-0.7126616846602676,2.9756811225912188,2.3009377319027635e-06
mp-685007,-262.4189836,-4.686053278571428,0.2134999999999998,0.0,15.0,6.0,-4.0,-7.0,28.0,8.0,5.333333333333333,-2.666666666666667,4.127777777777778,0.4277777777777776,3.167304643056326,-0.5508476468683865,2.562644929860763,0.1900512406272461
mp-1074050,-80.18646002,-2.8638021435714287,0.0,0.00041325,11.0,6.0,-5.0,-6.0,14.0,-4.0,3.8166666666666664,-1.5166666666666666,5.555555555555555,1.4444444444444446,3.002481806429598,-0.0008146746515471648,2.8623507259667615,-0.019391697564613564
mp-1102445,-69.81958858,-5.8182990483333334,0.0,0.0009539,11.5,2.5,-1.5,-4.5,6.0,3.0,4.666666666666667,2.0,6.666666666666667,-3.333333333333333,2.8843147705793757,-0.40795537096746104,2.9160074278086787,0.0038938047581937862
mp-1204458,-509.26051163,-7.4891251710294116,0.0,9.405e-05,12.5,3.5,-4.5,-7.5,34.0,4.0,7.403508771929825,-1.929824561403509,5.2631578947368425,-0.736842105263158,2.756594206209922,-0.6274567021685675,2.4782233097431163,0.018517054591857818
mp-640370,-44.34867735,-1.84786155625,0.0,0.49746525,12.5,3.5,-2.5,-5.5,12.0,10.0,6.204545454545454,2.204545454545454,10.0,-8.0,4.083438922237775,-1.4834117694255016,3.3710977688202886,0.11574523812537096
mp-556742,-33.8472851,-4.2309106375,2.0126,0.0,18.0,1.0,-11.0,-2.0,4.0,-0.0,5.0,4.0,3.0,-0.0,2.85884329995078,0.46098129995078096,2.2827390793060793,-0.0
mp-24043,-177.71995993,-4.93666555361111,5.4552,0.0,10.0,8.0,-7.0,-7.0,18.0,-6.0,2.5,1.5,2.0,-0.0,2.1253166980051708,0.6546434326434751,1.401852958628049,-0.3841874191179344
mp-1005850,-13.27669353,-3.3191733825,0.0,3.9257273,9.5,0.5,3.5,0.5,2.0,-1.0,8.666666666666666,3.3333333333333335,6.333333333333334,1.6666666666666665,4.701348960946476,1.130249758953411,3.66318337936893,-0.09207782871838033
mp-1018063,-16.84435393,-4.2110884825,0.0,0.0001348,5.5,3.5,1.5,1.5,2.0,-1.0,8.666666666666666,3.3333333333333335,6.333333333333334,1.6666666666666665,2.90302923378931,0.6979120494031834,2.261972653655106,-0.05685546926897911
mp-21065,-66.28040663,-5.5233672191666665,0.0,0.000729175,17.5,0.5,-11.5,-0.5,6.0,2.0,6.5,-5.5,4.5,-1.5,3.08628798521849,-0.9307856387022864,2.386428879964625,-0.0
mp-1094213,-58.05580619,-3.225322566111111,0.0,0.004065416666666667,12.0,7.0,-4.0,-5.0,9.0,3.0,5.25,2.25,6.75,-2.25,2.954653790444265,-1.3198539845493684e-06,2.954653819637189,6.396704153033284e-07
mp-1359,-39.96005386,-9.990013465,0.0,5e-08,12.5,2.5,-1.5,-1.5,2.0,-0.0,4.0,-0.0,8.0,-0.0,2.850347434962973,-0.0,2.7908906284553683,-0.0
mp-1210578,-27.45552787,-3.922218267142857,0.3344000000000005,4.952255,14.5,4.5,-6.5,-6.5,3.5,2.5,4.333333333333333,-1.6666666666666667,3.833333333333333,-0.16666666666666674,7.2131039531141194,-2.404367984371374,6.281924370360839,3.877556385989465
mp-19839,-13.10756503,-4.369188343333334,0.0,1e-07,13.0,4.0,-3.0,-6.0,1.5,0.5,5.5,-2.5,9.0,-3.0,3.4070765656461592,-0.912923430587691,3.332401517219751,0.0
mp-7924,-50.26383171,-3.5902736935714286,0.0,2.6e-06,11.0,8.0,-4.0,-5.0,7.0,3.0,4.0,2.0,7.0,-3.0,3.11919680250763,-0.005803197492369794,3.014916051297949,0.06756317341447415
mp-571262,-35.92217034,-5.98702839,0.0,0.20899945,10.0,4.0,-1.0,-3.0,3.0,1.0,5.0,1.0,9.0,-3.0,2.9594549834363937,-0.2989656323234391,3.1197003089223054,2.6867546409903298e-08
mp-1220085,-31.32110671,-4.474443815714285,0.0,5.3e-06,17.5,3.5,-8.5,-2.5,3.5,0.5,3.6666666666666665,2.3333333333333335,5.25,-0.75,2.9874041598415078,0.4013811598415078,2.5433419726118536,7.079527151665488e-05
mp-705753,-512.05605001,-6.650078571558442,1.3910999999999998,154.0000007,15.0,3.0,-9.0,-5.0,38.5,0.5,10.947368421052632,1.0526315789473681,5.923076923076923,-0.0769230769230771,2.9886024596082477,0.0013495077395950794,2.128823696376176,0.00774270284847578
mp-646039,-120.53712272,-3.5452094917647057,0.0,6.5e-07,16.5,1.5,-7.5,-0.5,17.0,-3.0,4.057142857142857,-1.342857142857143,6.171428571428572,0.9714285714285715,2.838416405883258,0.23870220925887753,2.673853720894519,-0.02093757197180457
mp-562490,-94.79907463,-7.899922885833334,5.6052,0.0,17.5,0.5,-12.5,-1.5,6.0,2.0,5.0,1.0,3.0,-1.0,2.826714002644541,-0.19663578939516713,1.6185191135681956,-0.002602157754157064
mp-1079053,-95.41635527,-9.541635527,0.0,3.485e-05,13.0,2.0,-6.0,-5.0,5.0,-1.0,3.1666666666666665,-2.1666666666666665,6.666666666666666,1.3333333333333335,2.4294369075672444,-0.44675406913165105,2.535276651696985,-0.009399258821919165
mp-28329,-33.1848681,-2.07405425625,1.6871,0.0,20.5,1.5,-9.5,-2.5,8.0,4.0,1.6666666666666665,-0.33333333333333337,4.666666666666667,-1.3333333333333333,3.8420583461654045,-0.9375365415919255,3.663496116245725,0.10500496412956961
mp-979956,-6.14488302,-1.536220755,0.0,0.0005467,7.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0,8.0,-4.0,4.454631129002001,-0.7642938709979987,3.690337258004002,0.0
mp-685022,-30.20467515,-3.77558439375,0.7523,0.0,20.5,0.5,-9.5,-1.5,4.0,0.0,2.0,0.0,2.0,0.0,2.3820291661797457,0.07945665236481747,2.299222705011413,-2.220446049250313e-16
mp-1183379,-32.44492435,-8.1112310875,0.0,21.625012,8.5,0.5,3.5,-0.5,2.0,1.0,7.0,1.0,8.0,-4.0,4.587476085427948,-0.7870909145720522,3.8003889712524677,3.80039657188469e-06
mp-1210757,-50.27053378,-5.027053378,0.0,0.0282955,11.5,2.5,-0.5,-3.5,5.0,-3.0,8.0,-4.0,4.0,-0.0,5.196375739358809,0.5249405503805331,4.169200726357016,-1.3085425814873455
mp-1206677,-14.18699406,-3.546748515,0.0,1.9999998,12.0,6.0,-5.0,-9.0,2.0,-0.0,6.0,2.0,5.0,-0.0,3.605080018574661,0.10026600476396919,2.901585741789629,-0.0
mp-1106122,-83.02785171,-5.189240731875,0.03819999999999979,0.0,11.5,2.5,-1.5,-4.5,8.0,-4.0,6.0,-4.0,4.0,2.0,4.256208676935653,0.35089846235060596,3.1101668057493486,-0.033279341833378995
mp-1038896,-37.7143691,-3.1428640916666666,0.0,2.69e-05,13.0,8.0,-4.0,-5.0,6.0,2.0,6.0,2.0,6.0,-2.0,3.1563193344428333,-1.6655571668522384e-06,3.1563168457602595,1.1836193101188996e-06
mp-1227922,-134.25321081,-1.5982525096428573,0.0,6.316666666666667e-06,13.0,4.0,-2.0,-5.0,42.0,30.0,8.041666666666666,-1.6249999999999996,8.972222222222221,-6.027777777777778,4.336036862807532,-1.4480165380981205,3.4197559303514056,0.1154516950679998
mp-761471,-76.1227924,-5.855599415384615,0.0,4.8976717,15.5,2.5,-9.5,-4.5,6.5,1.5,6.6,-0.6000000000000001,4.55,-1.0499999999999998,2.724255888543521,-0.18396584694076945,1.89519796369882,0.017147328978714738
mp-849596,-436.33612632,-7.1530512511475415,0.12419999999999964,66.9999986,14.5,3.5,-8.5,-5.5,30.5,9.5,4.642857142857142,-1.6428571428571428,4.502380952380952,-1.4023809523809525,2.715516388166682,-0.16942253239688054,1.9300729136295809,0.005765449159877645
mp-677,-9.12585324,-1.52097554,0.0,4.5e-07,12.0,5.0,-2.0,-5.0,3.0,1.0,4.0,-0.0,9.0,-3.0,3.5120275904293266,-0.5966670326488188,3.4739937314694695,3.796363223784738e-10
